GUID 4df188a3c98a4bd0a2fa0b75aebe1840
Type Gun
Rarity Legendary
Useable Gun
Slot Secondary
ID 27471

Size_X 3
Size_Y 2
Size_Z 0.4
Size2_Z 0.45

Sight 27571
Magazine 27671

Hook_Barrel
Hook_Sight
Hook_Tactical

Ammo_Min 1
Ammo_Max 5

Safety
Semi

Caliber 27471

Range 200
Firerate 15
Action Trigger

Player_Damage 90
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 150
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier .9
Zombie_Skull_Multiplier 1.1

Animal_Damage 140
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.2

Barricade_Damage 100
Structure_Damage 400
Vehicle_Damage 100
Resource_Damage 20
Object_Damage 25

Durability 1

Spread_Aim 0.05
Spread_Hip 0.1

Recoil_Min_X -4
Recoil_Min_Y 50
Recoil_Max_X 5
Recoil_Max_Y 70

Recover_X 0.5
Recover_Y 0.5

Shake_Min_X -0.01
Shake_Min_Y 0.01
Shake_Min_Z -0.1
Shake_Max_X 0.01
Shake_Max_Y -0.01
Shake_Max_Z -0.15

Muzzle 4

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Tool 76
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 27471
Blueprint_1_Product 67
Blueprint_1_Products 2
Blueprint_1_Build 27


