GUID 5e22d58540b949f8bcdb8334b80e01b7
Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 27480

Size_X 5
Size_Y 2
Size_Z 0.45
Size2_Z 0.8

Sight 296
Magazine 27680
Barrel 117

Hook_Sight
Hook_Tactical
Hook_Grip

Ammo_Min 1
Ammo_Max 5

Safety
Semi

Caliber 27480

Range 315
Firerate 20
Action Bolt

Player_Damage 101
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1
Instakill_Headshots True

Zombie_Damage 150
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 101
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 100
Structure_Damage 35
Vehicle_Damage 220
Resource_Damage 200
Object_Damage 150

Invulnerable

Durability 1
Wear 2

Spread_Aim 0.001
Spread_Hip 0.35

Ballistic_Steps 35
Ballistic_Travel 9

Recoil_Aim 0.25
Recoil_Min_X -20
Recoil_Min_Y 35
Recoil_Max_X 20
Recoil_Max_Y 40

Recover_X 0.6
Recover_Y 0.6

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 4

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 10
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 27480
Blueprint_1_Product 67
Blueprint_1_Products 7
Blueprint_1_Build 27
