GUID 703d99ff44544d13bbb96d048aa4b4c1
Type Barrel
Rarity Legendary
ID 27554

Size_X 2
Size_Y 1
Size_Z 0.125

Silenced 
Volume 0.75
Durability 1

Quality_Min 90
Quality_Max 100

Ballistic_Drop 1.3
Recoil_X 0.9
Recoil_y 0.9

Attachment_Calibers 10
Attachment_Caliber_0 27554
Attachment_Caliber_1 23
Attachment_Caliber_2 24
Attachment_Caliber_3 25
Attachment_Caliber_4 26
Attachment_Caliber_5 3
Attachment_Caliber_6 4
Attachment_Caliber_7 35
Attachment_Caliber_8 39
Attachment_Caliber_9 41

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Repair
Blueprint_0_Build 27
