GUID af3ce1c3fdbd48f5a4f13cdbf707eaea
Type Storage
Rarity Legendary
Useable Barricade
Build Storage
ID 9468

Size_X 4
Size_Y 4
Size_Z 0.5

Health 1200
Range 4
Radius 0.5
Offset 0.75

Storage_X 14
Storage_Y 15

Locked

Explosion 36

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 68
Blueprint_0_Supply_0_Amount 15
Blueprint_0_Supply_1_ID 285
Blueprint_0_Supply_1_Amount 10
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Exclude_From_Master_Bundle
